Experiment,Total Reads,Aligned Reads % (Transcriptome)
LPS_4h_S69_rsem,5938540,45.57
LPS_4h_S6_rsem,1712434,47.51
LPS_4h_S70_rsem,1969974,44.79
LPS_4h_S71_rsem,7866988,53.04
LPS_4h_S72_rsem,8318302,33.41
LPS_4h_S73_rsem,5201420,48.5
LPS_4h_S74_rsem,3942515,46.25
LPS_4h_S75_rsem,8375114,35.95
LPS_4h_S76_rsem,5076307,57.59
LPS_4h_S78_rsem,4684339,53.28
LPS_4h_S7_rsem,1002274,37.92
LPS_4h_S80_rsem,4483785,51.22
LPS_4h_S81_rsem,2851709,35.36
LPS_4h_S82_rsem,2816071,50.78
LPS_4h_S83_rsem,4870804,47.93
LPS_4h_S85_rsem,8166920,53.22
LPS_4h_S86_rsem,5235500,58.06
LPS_4h_S87_rsem,8749625,53.38
LPS_4h_S89_rsem,10503903,47.89
LPS_4h_S92_rsem,11573901,55.21
LPS_4h_S94_rsem,2086143,58.19
LPS_4h_S95_rsem,5186625,49.42
LPS_4h_S96_rsem,12757749,52.79
LPS_4h_S9_rsem,4664194,66.74
LPS_6h_S10_rsem,2049344,41.81
LPS_6h_S11_rsem,4908177,60.1
LPS_6h_S12_rsem,5816063,52.24
LPS_6h_S14_rsem,4168619,51
LPS_6h_S15_rsem,7822176,49.95
LPS_6h_S16_rsem,7105205,40.65
LPS_6h_S17_rsem,13812509,48.34
LPS_6h_S18_rsem,4741865,40.29
LPS_6h_S1_rsem,8484513,52.23
LPS_6h_S20_rsem,7386380,55.83
LPS_6h_S21_rsem,6148474,61.74
LPS_6h_S23_rsem,8725067,55.33
LPS_6h_S24_rsem,8610358,69.38
LPS_6h_S25_rsem,6788916,53.86
LPS_6h_S26_rsem,4833343,33.37
LPS_6h_S27_rsem,6061162,43.16
LPS_6h_S28_rsem,4317943,50.96
LPS_6h_S29_rsem,9540815,55.17
LPS_6h_S2_rsem,4248245,49.3
LPS_6h_S30_rsem,2554928,45.45
LPS_6h_S34_rsem,2529170,43.32
LPS_6h_S37_rsem,4883726,44.95
LPS_6h_S38_rsem,1248836,51.53
LPS_6h_S39_rsem,4331526,55.85
LPS_6h_S3_rsem,4134661,42.45
LPS_6h_S40_rsem,3134014,54.25
LPS_6h_S41_rsem,2955694,57.55
LPS_6h_S42_rsem,1194366,40.06
LPS_6h_S44_rsem,2039834,40.08
LPS_6h_S45_rsem,2175520,59.5
LPS_6h_S48_rsem,2756855,49
LPS_6h_S49_rsem,8338186,52.31
LPS_6h_S4_rsem,6420048,71.98
LPS_6h_S50_rsem,2080990,39.43
LPS_6h_S51_rsem,6793852,57.5
LPS_6h_S53_rsem,8654353,56.26
LPS_6h_S55_rsem,1269349,52.71
LPS_6h_S57_rsem,4994085,58.15
LPS_6h_S58_rsem,2698311,46.38
LPS_6h_S59_rsem,4570718,63.04
LPS_6h_S61_rsem,8354264,72.18
LPS_6h_S62_rsem,2686816,53.6
LPS_6h_S63_rsem,9024238,55.77
LPS_6h_S64_rsem,9040661,51.49
LPS_6h_S66_rsem,3307681,45.18
LPS_6h_S68_rsem,6062486,55.27
LPS_6h_S6_rsem,2166049,43.38
LPS_6h_S70_rsem,1998659,57.05
LPS_6h_S71_rsem,4533820,60.39
LPS_6h_S73_rsem,4428436,59.57
LPS_6h_S74_rsem,5644315,55.18
LPS_6h_S75_rsem,10129336,49.92
