Experiment,Total Reads,Aligned Reads % (Transcriptome)
LPS_2h_Technical_Replicate_1_S19_rsem,1939398,44.66
LPS_2h_Technical_Replicate_1_S20_rsem,2548594,41.27
LPS_2h_Technical_Replicate_1_S23_rsem,3546420,51.71
LPS_2h_Technical_Replicate_1_S26_rsem,2747741,43.94
LPS_2h_Technical_Replicate_1_S28_rsem,4434497,55.33
LPS_2h_Technical_Replicate_1_S31_rsem,3628873,45.64
LPS_2h_Technical_Replicate_1_S32_rsem,2144077,33.64
LPS_2h_Technical_Replicate_1_S34_rsem,3834719,39.32
LPS_2h_Technical_Replicate_1_S41_rsem,2651836,49.61
LPS_2h_Technical_Replicate_1_S42_rsem,2786748,62.34
LPS_2h_Technical_Replicate_1_S43_rsem,1783604,45.71
LPS_2h_Technical_Replicate_1_S45_rsem,2254746,52.14
LPS_2h_Technical_Replicate_1_S46_rsem,2524063,44.23
LPS_2h_Technical_Replicate_1_S47_rsem,2958550,56.18
LPS_2h_Technical_Replicate_1_S49_rsem,1872682,37.44
LPS_2h_Technical_Replicate_1_S4_rsem,2045015,37.36
LPS_2h_Technical_Replicate_1_S51_rsem,3180074,44.17
LPS_2h_Technical_Replicate_1_S52_rsem,2972494,51.39
LPS_2h_Technical_Replicate_1_S53_rsem,1934182,51.45
LPS_2h_Technical_Replicate_1_S54_rsem,2014469,43.92
LPS_2h_Technical_Replicate_1_S55_rsem,1834864,44.62
LPS_2h_Technical_Replicate_1_S57_rsem,2715281,60.32
LPS_2h_Technical_Replicate_1_S5_rsem,3271512,44.52
LPS_2h_Technical_Replicate_1_S60_rsem,2659906,43.5
LPS_2h_Technical_Replicate_1_S61_rsem,2802162,44.71
LPS_2h_Technical_Replicate_1_S63_rsem,2262827,39.54
LPS_2h_Technical_Replicate_1_S65_rsem,3273314,36.98
LPS_2h_Technical_Replicate_1_S66_rsem,2703963,45.63
LPS_2h_Technical_Replicate_1_S67_rsem,1444723,41.52
LPS_2h_Technical_Replicate_1_S68_rsem,1711688,44.25
LPS_2h_Technical_Replicate_1_S69_rsem,1476645,44.74
LPS_2h_Technical_Replicate_1_S6_rsem,3304887,62.95
LPS_2h_Technical_Replicate_1_S70_rsem,2541582,34.03
LPS_2h_Technical_Replicate_1_S72_rsem,4633240,50.44
LPS_2h_Technical_Replicate_1_S74_rsem,2572411,48.84
LPS_2h_Technical_Replicate_1_S76_rsem,2827304,44.98
LPS_2h_Technical_Replicate_1_S77_rsem,1623986,37.45
LPS_2h_Technical_Replicate_1_S79_rsem,2695560,47.25
LPS_2h_Technical_Replicate_1_S7_rsem,2408303,61.3
LPS_2h_Technical_Replicate_1_S80_rsem,2537732,45.09
LPS_2h_Technical_Replicate_1_S82_rsem,2658902,41.37
LPS_2h_Technical_Replicate_1_S86_rsem,4151470,48.47
LPS_2h_Technical_Replicate_1_S87_rsem,3357316,38.9
LPS_2h_Technical_Replicate_1_S90_rsem,3088587,43.47
LPS_2h_Technical_Replicate_1_S92_rsem,2692255,46.01
LPS_2h_Technical_Replicate_1_S93_rsem,2448883,45.47
LPS_2h_Technical_Replicate_1_S94_rsem,2959715,61.28
LPS_2h_Technical_Replicate_1_S95_rsem,3594100,46.06
LPS_2h_Technical_Replicate_1_S9_rsem,2146673,40.98
LPS_2h_Technical_Replicate_2_S11_rsem,1914122,44.4
LPS_2h_Technical_Replicate_2_S12_rsem,1960944,41.97
LPS_2h_Technical_Replicate_2_S14_rsem,2321092,51.17
LPS_2h_Technical_Replicate_2_S15_rsem,2571267,44.55
LPS_2h_Technical_Replicate_2_S16_rsem,1435929,56.18
LPS_2h_Technical_Replicate_2_S17_rsem,1431735,60.35
LPS_2h_Technical_Replicate_2_S18_rsem,2099461,52.12
LPS_2h_Technical_Replicate_2_S1_rsem,1189487,50.88
LPS_2h_Technical_Replicate_2_S20_rsem,2404379,38.36
LPS_2h_Technical_Replicate_2_S21_rsem,1816766,42.2
LPS_2h_Technical_Replicate_2_S22_rsem,2318837,52.12
LPS_2h_Technical_Replicate_2_S23_rsem,1500112,41.68
LPS_2h_Technical_Replicate_2_S24_rsem,1526956,56.98
LPS_2h_Technical_Replicate_2_S25_rsem,3418090,46.86
LPS_2h_Technical_Replicate_2_S26_rsem,3009052,45.55
LPS_2h_Technical_Replicate_2_S27_rsem,1924610,53.58
LPS_2h_Technical_Replicate_2_S29_rsem,1984890,44.25
LPS_2h_Technical_Replicate_2_S2_rsem,1676243,54.47
LPS_2h_Technical_Replicate_2_S30_rsem,2498912,57.05
LPS_2h_Technical_Replicate_2_S31_rsem,2975769,65
LPS_2h_Technical_Replicate_2_S32_rsem,3725974,50.85
LPS_2h_Technical_Replicate_2_S33_rsem,3277009,50.51
LPS_2h_Technical_Replicate_2_S36_rsem,2980997,46.98
LPS_2h_Technical_Replicate_2_S37_rsem,1292037,45.44
LPS_2h_Technical_Replicate_2_S38_rsem,2579665,42.45
LPS_2h_Technical_Replicate_2_S3_rsem,2142563,38.19
LPS_2h_Technical_Replicate_2_S41_rsem,2179536,53.16
LPS_2h_Technical_Replicate_2_S43_rsem,2082667,52.45
LPS_2h_Technical_Replicate_2_S44_rsem,3451655,46.12
LPS_2h_Technical_Replicate_2_S45_rsem,2755508,45.54
LPS_2h_Technical_Replicate_2_S46_rsem,2055406,45.97
LPS_2h_Technical_Replicate_2_S47_rsem,2733778,46.85
LPS_2h_Technical_Replicate_2_S49_rsem,3912403,44.83
LPS_2h_Technical_Replicate_2_S50_rsem,2320567,53.26
LPS_2h_Technical_Replicate_2_S51_rsem,1657030,49.3
LPS_2h_Technical_Replicate_2_S53_rsem,2002664,44.53
LPS_2h_Technical_Replicate_2_S54_rsem,2615750,58.42
LPS_2h_Technical_Replicate_2_S55_rsem,2375518,43.29
LPS_2h_Technical_Replicate_2_S56_rsem,1817805,54.01
LPS_2h_Technical_Replicate_2_S57_rsem,2007215,52.1
LPS_2h_Technical_Replicate_2_S58_rsem,1985453,51.95
LPS_2h_Technical_Replicate_2_S59_rsem,2179894,45.97
LPS_2h_Technical_Replicate_2_S5_rsem,1455399,47.46
LPS_2h_Technical_Replicate_2_S61_rsem,1785761,48.58
LPS_2h_Technical_Replicate_2_S63_rsem,1429985,48.1
LPS_2h_Technical_Replicate_2_S64_rsem,2179291,56.87
LPS_2h_Technical_Replicate_2_S67_rsem,2156194,50.53
LPS_2h_Technical_Replicate_2_S68_rsem,3861767,58.78
LPS_2h_Technical_Replicate_2_S69_rsem,3529258,52.76
LPS_2h_Technical_Replicate_2_S6_rsem,1793256,48.89
LPS_2h_Technical_Replicate_2_S70_rsem,2558790,51.44
LPS_2h_Technical_Replicate_2_S71_rsem,2999467,60.57
LPS_2h_Technical_Replicate_2_S72_rsem,2359623,51.6
LPS_2h_Technical_Replicate_2_S74_rsem,3525980,58.7
LPS_2h_Technical_Replicate_2_S75_rsem,2879895,48.33
LPS_2h_Technical_Replicate_2_S77_rsem,4295225,41.47
LPS_2h_Technical_Replicate_2_S79_rsem,2709153,59.19
LPS_2h_Technical_Replicate_2_S7_rsem,3118205,41.48
LPS_2h_Technical_Replicate_2_S81_rsem,1943127,46.14
LPS_2h_Technical_Replicate_2_S82_rsem,2343571,44.19
LPS_2h_Technical_Replicate_2_S83_rsem,2789914,57.74
LPS_2h_Technical_Replicate_2_S84_rsem,2771574,49.76
LPS_2h_Technical_Replicate_2_S85_rsem,2104496,47.11
LPS_2h_Technical_Replicate_2_S86_rsem,1358156,49.51
LPS_2h_Technical_Replicate_2_S87_rsem,2139989,44.68
LPS_2h_Technical_Replicate_2_S8_rsem,2872682,63.53
LPS_2h_Technical_Replicate_2_S90_rsem,2518457,48.15
LPS_2h_Technical_Replicate_2_S91_rsem,1232253,47.85
LPS_2h_Technical_Replicate_2_S92_rsem,2473422,52.71
LPS_2h_Technical_Replicate_2_S94_rsem,1655078,40.03
LPS_2h_Technical_Replicate_2_S95_rsem,2191892,49.87
LPS_2h_Technical_Replicate_2_S96_rsem,3108967,45.94
LPS_4h_Tenth_S13_rsem,2428495,36.07
LPS_4h_Tenth_S14_rsem,1668749,38.16
LPS_4h_Tenth_S17_rsem,2699068,53.84
LPS_4h_Tenth_S19_rsem,3350626,51.65
LPS_4h_Tenth_S20_rsem,2020130,42.9
LPS_4h_Tenth_S22_rsem,2497327,46.79
LPS_4h_Tenth_S23_rsem,1694094,54.81
LPS_4h_Tenth_S24_rsem,1264035,48.18
LPS_4h_Tenth_S25_rsem,3666165,40.95
LPS_4h_Tenth_S26_rsem,2679321,42.86
LPS_4h_Tenth_S27_rsem,3236356,46.68
LPS_4h_Tenth_S28_rsem,2315379,41.44
LPS_4h_Tenth_S29_rsem,2470623,50.54
LPS_4h_Tenth_S2_rsem,3011956,62.69
LPS_4h_Tenth_S32_rsem,3405651,50.93
LPS_4h_Tenth_S33_rsem,1769861,46.17
LPS_4h_Tenth_S34_rsem,1811355,46.45
LPS_4h_Tenth_S35_rsem,2186576,53.62
LPS_4h_Tenth_S38_rsem,1808961,44.68
LPS_4h_Tenth_S3_rsem,3768744,47.04
LPS_4h_Tenth_S42_rsem,1918462,48.55
LPS_4h_Tenth_S43_rsem,2750880,49.16
LPS_4h_Tenth_S50_rsem,3061995,47.17
LPS_4h_Tenth_S52_rsem,3124287,51.65
LPS_4h_Tenth_S54_rsem,3559822,62.61
LPS_4h_Tenth_S55_rsem,2776036,31.96
LPS_4h_Tenth_S57_rsem,2957718,47.53
LPS_4h_Tenth_S58_rsem,2809705,47.95
LPS_4h_Tenth_S61_rsem,2590519,50.98
LPS_4h_Tenth_S63_rsem,3636140,49.57
LPS_4h_Tenth_S64_rsem,3301285,47.66
LPS_4h_Tenth_S65_rsem,3361182,51.5
LPS_4h_Tenth_S66_rsem,2796201,42.38
LPS_4h_Tenth_S68_rsem,2285587,51.54
LPS_4h_Tenth_S69_rsem,2472614,32.6
LPS_4h_Tenth_S6_rsem,2895006,50.47
LPS_4h_Tenth_S70_rsem,1522574,23.35
LPS_4h_Tenth_S71_rsem,3983158,52.26
LPS_4h_Tenth_S73_rsem,2018626,52.19
LPS_4h_Tenth_S74_rsem,2928122,49.93
LPS_4h_Tenth_S75_rsem,3802142,43.17
LPS_4h_Tenth_S77_rsem,3453559,54.13
LPS_4h_Tenth_S79_rsem,2239199,48.33
LPS_4h_Tenth_S7_rsem,3364000,42.03
LPS_4h_Tenth_S80_rsem,2463805,49.12
LPS_4h_Tenth_S81_rsem,2273054,49.98
LPS_4h_Tenth_S85_rsem,4269831,49.23
LPS_4h_Tenth_S89_rsem,1363962,43.95
LPS_4h_Tenth_S8_rsem,4279243,40.63
Tube_Control_Unstimulated,38266640,65.82
Tube_Control_LPS_1h,46910876,64.34
Tube_Control_LPS_2h,48579881,61.11
Tube_Control_LPS_4h,67846263,59.66
Tube_Control_LPS_6h,66711506,61.27
Tube_Control_PAM_1h,17565035,82.49
Tube_Control_PAM_2h,17506237,81.88
Tube_Control_PAM_4h,17708765,81.46
Tube_Control_PAM_6h,16368163,82.91
Tube_Control_PIC_1h,12229677,73.9
Tube_Control_PIC_2h,22232302,79.84
Tube_Control_PIC_4h,16371408,79.4
Tube_Control_PIC_6h,19703576,82.35
